ISBN	douban_id	5star	4star	3star	2star	1star	short_comment	long_comment	note	reading	collectiongs	wishes	url_pic	title	score	users
9787541413582	3072483	82.2%	15.9%	1.9%	0.0%	0.0%	16	0	0.0	1.0	127.0	11.0	https://img3.doubanio.com/lpic/s3087084.jpg	奇异的恐龙探险	9.7	107
9787532257171	3634394	42.7%	41.7%	14.6%	1.0%	0.0%	30	1	0.0	6.0	120.0	154.0	https://img3.doubanio.com/lpic/s3695042.jpg	桃花源的故事	8.5	96
9787550213258	26308522	48.3%	40.0%	11.7%	0.0%	0.0%	19	17	0.0	14.0	65.0	1003.0	https://img3.doubanio.com/lpic/s28074875.jpg	矮子画廊	9.1	60
9787221077455	2243472	51.0%	33.3%	14.7%	1.0%	0.0%	32	4	0.0	4.0	134.0	101.0	https://img3.doubanio.com/lpic/s2775085.jpg	一看再看系列（全6册）	8.7	102
9787539139807	2356890	23.3%	40.0%	33.3%	3.3%	0.0%	10	0	0.0	1.0	40.0	38.0	https://img3.doubanio.com/lpic/s6787834.jpg	圣诞老人不来我家的7个理由	7.6	30
9787550265097	26671508	82.6%	17.4%	0.0%	0.0%	0.0%	9	15	0.0	0.0	26.0	95.0	https://img3.doubanio.com/lpic/s28348074.jpg	可爱的倒霉蛋们	9.6	23
9787500705970	3357512	1	0	0	6	2	46	https://img3.doubanio.com/lpic/s4091614.jpg						30天环游中国	9.1	10
9787506324816	1022091	38.7%	48.5%	12.0%	0.0%	0.7%	51	4	0.0	11.0	349.0	74.0	https://img1.doubanio.com/lpic/s1404587.jpg	山羊不吃天堂草	8.5	274
9787508656403	26687654	56.1%	24.4%	17.1%	2.4%	0.0%	9	18	0.0	7.0	37.0	217.0	https://img3.doubanio.com/lpic/s28379251.jpg	童话里的世界	8.4	41
9787550228559	25879321	20.4%	39.0%	32.2%	5.7%	2.7%	233	15	0.0	44.0	556.0	470.0	https://img3.doubanio.com/lpic/s27424724.jpg	梦想还是要有的，万一实现了呢	7.3	490
9787515305417	24882328	0	0	0	0	2	14	https://img3.doubanio.com/lpic/s27289085.jpg						神奇洗发水	7.4	10
9787020080205	4813673	35.6%	37.5%	23.2%	1.1%	2.6%	57	17	0.0	46.0	323.0	1920.0	https://img1.doubanio.com/lpic/s4338938.jpg	一期一会好时光	7.8	267
9787544012416	1074768	0	0	0	1	1	24	https://img1.doubanio.com/lpic/s1060018.jpg						教室里的哲学	8.5	10
9787208069732	2229649	37.1%	42.9%	16.8%	2.9%	0.4%	86	38	0.0	91.0	331.0	895.0	https://img3.doubanio.com/lpic/s2673223.jpg	童年的秘密	8.3	280
9787546348391	6037871	1	0	0	1	6	16	https://img1.doubanio.com/lpic/s4676498.jpg						小熊帕丁顿	8.7	10
9787539167121	20285341	56.7%	40.0%	3.3%	0.0%	0.0%	30	0	0.0	9.0	77.0	130.0	https://img3.doubanio.com/lpic/s27004581.jpg	梦的尽头	8.9	60
9787534949463	6722910	100.0%	0.0%	0.0%	0.0%	0.0%	1	1	0.0	1.0	17.0	16.0	https://img1.doubanio.com/lpic/s6773729.jpg	快乐的折纸动物园	8.7	18
9787807327301	2135791	43.6%	37.0%	15.2%	2.4%	1.8%	26	7	0.0	18.0	216.0	338.0	https://img3.doubanio.com/lpic/s2562360.jpg	我看见的世界	8.3	165
9787550227194	26041412	61.9%	28.6%	4.8%	4.8%	0.0%	8	3	0.0	1.0	22.0	40.0	https://img1.doubanio.com/lpic/s27610509.jpg	世界第一少年侦探团 1：曾曾曾祖父的荒岛藏宝图	8.6	21
9787507720945	1213485	56.6%	33.3%	8.8%	1.3%	0.0%	27	0	0.0	7.0	211.0	67.0	https://img3.doubanio.com/lpic/s1154081.jpg	鲁西西外传	8.9	159
9787539117379	1074192	64.9%	25.7%	9.5%	0.0%	0.0%	6	1	0.0	8.0	102.0	247.0	https://img3.doubanio.com/lpic/s28446793.jpg	米切尔. 恩德作品集	9.2	74
9787122161123	21324366	3	0	0	0	7	18	https://img5.doubanio.com/lpic/s26015956.jpg						我要做自己	7.5	10
9787530735459	1318950	35.3%	42.8%	19.7%	2.3%	0.0%	56	1	0.0	12.0	210.0	115.0	https://img3.doubanio.com/lpic/s26032980.jpg	浪漫鼠德佩罗	7.9	173
9787550245792	26356357	75.0%	8.3%	16.7%	0.0%	0.0%	4	1	0.0	1.0	12.0	10.0	https://img1.doubanio.com/lpic/s28038758.jpg	西蒙的猫：恶作剧！1	6.9	12
9787020079926	4860711	20.0%	33.1%	41.3%	4.4%	1.3%	43	10	0.0	28.0	200.0	732.0	https://img1.doubanio.com/lpic/s4380067.jpg	野兽国	7.3	160
9787108023940	1769767	67.6%	28.6%	3.7%	0.1%	0.1%	174	11	0.0	40.0	2276.0	1080.0	https://img3.doubanio.com/lpic/s1670010.jpg	我在伊朗长大2	7.2	1668
9787107181887	1664828	26.7%	37.8%	31.1%	2.2%	2.2%	9	1	0.0	12.0	64.0	305.0	https://img3.doubanio.com/lpic/s8990982.jpg	儿童发展心理学	7.7	45
9787544241991	3265408	38.5%	38.5%	21.8%	1.3%	0.0%	15	5	0.0	2.0	109.0	69.0	https://img3.doubanio.com/lpic/s3379222.jpg	大河马	8.2	78
9787550234918	26209335	66.0%	27.7%	6.4%	0.0%	0.0%	24	10	0.0	5.0	58.0	225.0	https://img3.doubanio.com/lpic/s27716510.jpg	月亮熊	7.7	47
9787550213777	23134211	69.0%	25.4%	5.6%	0.0%	0.0%	97	3	0.0	10.0	241.0	182.0	https://img3.doubanio.com/lpic/s26280973.jpg	还是咬人画的	9.2	213
9787539909608	2081316	67.7%	22.6%	6.5%	3.2%	0.0%	7	0	0.0	5.0	41.0	82.0	https://img3.doubanio.com/lpic/s2407015.jpg	丰子恺自传/名人自传丛书	9.1	31
9787112196081	26890471	95.2%	4.8%	0.0%	0.0%	0.0%	10	0	0.0	1.0	21.0	35.0	https://img5.doubanio.com/lpic/s29106716.jpg	京城绘1·人来车往	8.6	21
